pop_won,city_state
1018,"Stamford, Connecticut"
1089,"Odessa, Texas"
1101,"Naperville, Illinois"
1117,"Rochester, Minnesota"
1141,"Sacramento, California"
1246,"Fairfield, California"
1348,"Springfield, Missouri"
1409,"Hollywood, Florida"
1480,"Waterbury, Connecticut"
1610,"Little Rock, Arkansas"
1817,"Fort Lauderdale, Florida"
1844,"Athens-Clarke County (balance), Georgia"
1912,"Sparks, Nevada"
1986,"Salem, Oregon"
1994,"Cincinnati, Ohio"
2184,"San Bernardino, California"
2216,"Pompano Beach, Florida"
2217,"League City, Texas"
2289,"Antioch, California"
2320,"Pearland, Texas"
2500,"Elk Grove, California"
2509,"Amarillo, Texas"
2513,"Norman, Oklahoma"
2704,"San Diego, California"
2773,"High Point, North Carolina"
2817,"Laredo, Texas"
2834,"Spring Valley, Nevada"
3081,"Richmond, Virginia"
3298,"Santa Clara, California"
3312,"Kansas City, Missouri"
3348,"Scottsdale, Arizona"
3420,"Worcester, Massachusetts"
3612,"South Fulton, Georgia"
3649,"Thornton, Colorado"
3693,"Corona, California"
3762,"Chandler, Arizona"
4008,"Fresno, California"
4030,"Columbia, Missouri"
4165,"Lincoln, Nebraska"
4205,"Brownsville, Texas"
4228,"Winston-Salem, North Carolina"
4249,"Tacoma, Washington"
4258,"Las Cruces, New Mexico"
4302,"Visalia, California"
4449,"Greeley, Colorado"
4698,"Moreno Valley, California"
4756,"Gainesville, Florida"
4834,"Abilene, Texas"
4853,"Billings, Montana"
5042,"Plano, Texas"
5054,"Riverside, California"
5070,"Miramar, Florida"
5406,"Tyler, Texas"
5473,"Chesapeake, Virginia"
5577,"Arlington, Texas"
5585,"McAllen, Texas"
5641,"Victorville, California"
5700,"Waco, Texas"
5716,"St Petersburg, Florida"
5717,"Tallahassee, Florida"
5894,"College Station, Texas"
5996,"Charleston, South Carolina"
6008,"Tempe, Arizona"
6134,"Tucson, Arizona"
6280,"Spring Hill, Florida"
6541,"Glendale, Arizona"
6741,"Clovis, California"
6801,"Madison, Wisconsin"
6885,"Vancouver, Washington"
6976,"Cary, North Carolina"
6978,"Concord, North Carolina"
7021,"Broken Arrow, Oklahoma"
7282,"Chattanooga, Tennessee"
7342,"Midland, Texas"
7416,"New Haven, Connecticut"
7485,"Fort Wayne, Indiana"
7677,"Mesa, Arizona"
7740,"The Woodlands, Texas"
7833,"Olathe, Kansas"
7838,"Grand Prairie, Texas"
7877,"Killeen, Texas"
7890,"North Charleston, South Carolina"
7934,"Greensboro, North Carolina"
8096,"Allen, Texas"
8280,"Irvine, California"
8294,"Columbia, South Carolina"
8302,"Rio Rancho, New Mexico"
8317,"Gilbert, Arizona"
8384,"Fontana, California"
8830,"West Palm Beach, Florida"
8954,"Knoxville, Tennessee"
8993,"Ontario, California"
9004,"Peoria, Arizona"
9009,"Columbus, Ohio"
9237,"Wilmington, North Carolina"
9494,"Tuscaloosa, Alabama"
9508,"Lewisville, Texas"
9602,"Fargo, North Dakota"
