pop_won,city_state
10801,"Bakersfield, California"
10844,"Washington, District of Columbia"
11038,"Aurora, Colorado"
11110,"Colorado Springs, Colorado"
11168,"Lakeland, Florida"
11820,"Lubbock, Texas"
11910,"Salt Lake City, Utah"
12209,"Huntsville, Alabama"
13142,"Round Rock, Texas"
13245,"Reno, Nevada"
13606,"Menifee, California"
14158,"Roseville, California"
14569,"Atlanta, Georgia"
15564,"Murfreesboro, Tennessee"
15656,"Durham, North Carolina"
17210,"Orlando, Florida"
17277,"Nampa, Idaho"
17297,"Sioux Falls, South Dakota"
17462,"Miami, Florida"
17609,"Clarksville, Tennessee"
18504,"Surprise, Arizona"
18622,"Goodyear, Arizona"
18740,"Austin, Texas"
18846,"Las Vegas, Nevada"
19350,"Seattle, Washington"
19850,"Houston, Texas"
20197,"Buckeye, Arizona"
20477,"Meridian, Idaho"
20537,"Palm Bay, Florida"
20586,"Tampa, Florida"
21349,"McKinney, Texas"
21740,"Enterprise, Nevada"
22588,"Raleigh, North Carolina"
22657,"Conroe, Texas"
22989,"Denton, Texas"
24310,"Henderson, Nevada"
25753,"New Braunfels, Texas"
26252,"Oklahoma City, Oklahoma"
29670,"Frisco, Texas"
31409,"North Las Vegas, Nevada"
38710,"Cape Coral, Florida"
45284,"Jacksonville, Florida"
47412,"Charlotte, North Carolina"
50148,"Phoenix, Arizona"
50941,"Port St Lucie, Florida"
73154,"Fort Worth, Texas"
74717,"San Antonio, Texas"
