pop_loss,city_state
-9988,"Palmdale, California"
-9760,"St Paul, Minnesota"
-9624,"Torrance, California"
-9322,"Hayward, California"
-9146,"Norfolk, Virginia"
-9144,"Lancaster, California"
-8922,"Baton Rouge, Louisiana"
-8368,"Huntington Beach, California"
-8195,"Anaheim, California"
-8047,"Virginia Beach, Virginia"
-7623,"Honolulu, Hawaii"
-7580,"Newark, New Jersey"
-7460,"Minneapolis, Minnesota"
-7338,"West Valley City, Utah"
-7310,"Pomona, California"
-6991,"Berkeley, California"
-6839,"Columbus, Georgia"
-6776,"Detroit, Michigan"
-6630,"Toledo, Ohio"
-6564,"East Los Angeles, California"
-6536,"Pasadena, California"
-6424,"Anchorage, Alaska"
-6339,"Montgomery, Alabama"
-6203,"Pasadena, Texas"
-6152,"Albuquerque, New Mexico"
-5919,"Oakland, California"
-5640,"Ann Arbor, Michigan"
-5630,"Fremont, California"
-5368,"Mobile, Alabama"
-5356,"Fullerton, California"
-5260,"Oceanside, California"
-5212,"Alexandria, Virginia"
-5180,"Salinas, California"
-4975,"Birmingham, Alabama"
-4839,"Garden Grove, California"
-4784,"Rochester, New York"
-4594,"Des Moines, Iowa"
-4564,"Oxnard, California"
-4487,"Kansas City, Kansas"
-4482,"Thousand Oaks, California"
-4450,"Yonkers, New York"
-4378,"Sunnyvale, California"
-4286,"Kent, Washington"
-4116,"Vallejo, California"
-3962,"Concord, California"
-3906,"Newport News, Virginia"
-3906,"Arvada, Colorado"
-3856,"Escondido, California"
-3831,"Buffalo, New York"
-3828,"Paterson, New Jersey"
-3788,"Garland, Texas"
-3655,"Paradise, Nevada"
-3552,"Beaumont, Texas"
-3536,"Aurora, Illinois"
-3400,"Rockford, Illinois"
-3298,"Lexington, Kentucky"
-3290,"Warren, Michigan"
-3246,"Irving, Texas"
-3080,"Mesquite, Texas"
-2832,"West Jordan, Utah"
-2819,"Santa Rosa, California"
-2799,"Grand Rapids, Michigan"
-2787,"Richmond, California"
-2722,"Evansville, Indiana"
-2646,"Dayton, Ohio"
-2636,"Independence, Missouri"
-2550,"Nashville (balance), Tennessee"
-2540,"Wichita, Kansas"
-2486,"Richardson, Texas"
-2400,"Cedar Rapids, Iowa"
-2347,"Provo, Utah"
-2343,"Tulsa, Oklahoma"
-2339,"Springfield, Illinois"
-2292,"Westminster, Colorado"
-2144,"Springfield, Massachusetts"
-1968,"Chula Vista, California"
-1960,"Corpus Christi, Texas"
-1927,"Akron, Ohio"
-1911,"Stockton, California"
-1906,"Carlsbad, California"
-1800,"Brandon, Florida"
-1743,"Elgin, Illinois"
-1640,"Simi Valley, California"
-1555,"Syracuse, New York"
-1555,"Lowell, Massachusetts"
-1487,"Augusta-Richmond County (balance), Georgia"
-1486,"Orange, California"
-1478,"Hialeah, Florida"
-1372,"Denver, Colorado"
-1283,"Topeka, Kansas"
-1131,"Elizabeth, New Jersey"
-1130,"Allentown, Pennsylvania"
-1096,"Pueblo, Colorado"
-1014,"Miami Gardens, Florida"
-1004,"Sterling Heights, Michigan"
