population_won,city
2320,Pearland
2500,Elk Grove
2509,Amarillo
2513,Norman
2704,San Diego
2773,High Point
2817,Laredo
2834,Spring Valley
3081,Richmond
3298,Santa Clara
3312,Kansas City
3348,Scottsdale
3420,Worcester
3612,South Fulton
3649,Thornton
3693,Corona
3762,Chandler
4008,Fresno
4030,Columbia
4165,Lincoln
4205,Brownsville
4228,Winston-Salem
4249,Tacoma
4258,Las Cruces
4302,Visalia
4449,Greeley
4698,Moreno Valley
4756,Gainesville
4834,Abilene
4853,Billings
5042,Plano
5054,Riverside
5070,Miramar
5406,Tyler
5473,Chesapeake
5577,Arlington
5585,McAllen
5641,Victorville
5700,Waco
5716,St. Petersburg
5717,Tallahassee
5894,College Station
5996,Charleston
6008,Tempe
6134,Tucson
6280,Spring Hill
6541,Glendale
6741,Clovis
6801,Madison
6885,Vancouver
6976,Cary
6978,Concord
7021,Broken Arrow
7282,Chattanooga
7342,Midland
7416,New Haven
7485,Fort Wayne
7677,Mesa
7740,The Woodlands
7833,Olathe
7838,Grand Prairie
7877,Killeen
7890,North Charleston
7934,Greensboro
8096,Allen
8280,Irvine
8294,Columbia
8302,Rio Rancho
8317,Gilbert
8384,Fontana
8830,West Palm Beach
8954,Knoxville
8993,Ontario
9004,Peoria
9009,Columbus
9237,Wilmington
9494,Tuscaloosa
9508,Lewisville
9602,Fargo
