pop_won,city_state
8097282,"New York, New York"
3795936,"Los Angeles, California"
2638159,"Chicago, Illinois"
2319119,"Houston, Texas"
1662607,"Phoenix, Arizona"
1533828,"Philadelphia, Pennsylvania"
1513974,"San Antonio, Texas"
1388996,"San Diego, California"
1302753,"Dallas, Texas"
997164,"Jacksonville, Florida"
996756,"Fort Worth, Texas"
984567,"Austin, Texas"
956433,"San Jose, California"
923164,"Charlotte, North Carolina"
915427,"Columbus, Ohio"
876665,"Indianapolis (balance), Indiana"
788478,"San Francisco, California"
759915,"Seattle, Washington"
716234,"Denver, Colorado"
709330,"Oklahoma City, Oklahoma"
687150,"Nashville (balance), Tennessee"
681683,"Washington, District of Columbia"
678859,"El Paso, Texas"
665640,"Las Vegas, Nevada"
646622,"Boston, Massachusetts"
631524,"Detroit, Michigan"
622882,"Portland, Oregon"
620004,"Louisville/Jefferson County (balance), Kentucky"
613110,"Memphis, Tennessee"
559266,"Baltimore, Maryland"
558736,"Albuquerque, New Mexico"
556111,"Milwaukee, Wisconsin"
548772,"Tucson, Arizona"
546718,"Fresno, California"
526669,"Sacramento, California"
514465,"Atlanta, Georgia"
513567,"Mesa, Arizona"
511532,"Kansas City, Missouri"
