population,city_state
491441,"Colorado Springs, Colorado"
487942,"Raleigh, North Carolina"
480194,"Omaha, Nebraska"
460289,"Miami, Florida"
451637,"Virginia Beach, Virginia"
444095,"Long Beach, California"
435024,"Oakland, California"
423250,"Minneapolis, Minnesota"
416081,"Bakersfield, California"
411308,"Tulsa, Oklahoma"
408510,"Tampa, Florida"
399825,"Arlington, Texas"
397811,"Aurora, Colorado"
395484,"Wichita, Kansas"
359606,"Cleveland, Ohio"
357767,"New Orleans, Louisiana"
343382,"Henderson, Nevada"
339558,"Honolulu, Hawaii"
338463,"Anaheim, California"
325044,"Orlando, Florida"
320121,"Riverside, California"
319329,"Lexington, Kentucky"
319065,"Stockton, California"
316691,"Irvine, California"
316105,"Corpus Christi, Texas"
311595,"Cincinnati, Ohio"
310304,"Santa Ana, California"
304279,"Greensboro, North Carolina"
303413,"Pittsburgh, Pennsylvania"
303065,"Newark, New Jersey"
301380,"St Paul, Minnesota"
300100,"Durham, North Carolina"
295798,"Lincoln, Nebraska"
292623,"North Las Vegas, Nevada"
291559,"Jersey City, New Jersey"
291450,"Plano, Texas"
284469,"Anchorage, Alaska"
282005,"Madison, Wisconsin"
281107,"Chandler, Arizona"
278226,"Reno, Nevada"
277490,"Gilbert, Arizona"
275506,"St Louis, Missouri"
273841,"Chula Vista, California"
273720,"Buffalo, New York"
271865,"Fort Wayne, Indiana"
269833,"Lubbock, Texas"
264982,"St Petersburg, Florida"
263646,"Toledo, Ohio"
258306,"Laredo, Texas"
257756,"Port St Lucie, Florida"
255490,"Glendale, Arizona"
255254,"Chesapeake, Virginia"
254032,"Winston-Salem, North Carolina"
253561,"Irving, Texas"
245231,"Scottsdale, Arizona"
242523,"Garland, Texas"
236331,"Enterprise, Nevada"
236007,"Arlington, Virginia"
235216,"Boise, Idaho"
234132,"Cape Coral, Florida"
232424,"Frisco, Texas"
230017,"Richmond, Virginia"
229527,"Spokane, Washington"
228643,"Norfolk, Virginia"
228616,"Huntsville, Alabama"
224800,"Fremont, California"
224274,"San Bernardino, California"
223968,"Tacoma, Washington"
221531,"Spring Valley, Nevada"
221235,"Santa Clarita, California"
220930,"Hialeah, Florida"
218989,"Modesto, California"
218846,"McKinney, Texas"
217561,"Fontana, California"
217342,"Baton Rouge, Louisiana"
213566,"Moreno Valley, California"
212570,"Salt Lake City, Utah"
210734,"Sioux Falls, South Dakota"
209942,"Fayetteville, North Carolina"
209232,"Des Moines, Iowa"
208476,"Worcester, Massachusetts"
206544,"Yonkers, New York"
206078,"Rochester, New York"
204244,"Little Rock, Arkansas"
204093,"Grand Prairie, Texas"
203650,"Tallahassee, Florida"
203035,"Amarillo, Texas"
201001,"Peoria, Arizona"
200512,"Augusta-Richmond County (balance), Georgia"
200400,"Knoxville, Tennessee"
200167,"Columbus, Georgia"
198463,"Sunrise Manor, Nevada"
198163,"Vancouver, Washington"
197347,"Oxnard, California"
