pop_loss,city_state
-940,"Santa Ana, California"
-860,"Overland Park, Kansas"
-846,"Carrollton, Texas"
-818,"Boise, Idaho"
-698,"Macon-Bibb County, Georgia"
-644,"Clearwater, Florida"
-602,"Lansing, Michigan"
-459,"Dallas, Texas"
-427,"Arlington, Virginia"
-396,"El Paso, Texas"
-390,"Jersey City, New Jersey"
-382,"Lakewood, Colorado"
-371,"Rancho Cucamonga, California"
-275,"Bellevue, Washington"
-243,"Hampton, Virginia"
-172,"Hartford, Connecticut"
-166,"Lehigh Acres, Florida"
-46,"Manchester, New Hampshire"
-06,"Cambridge, Massachusetts"
16,"Lafayette, Louisiana"
61,"Pembroke Pines, Florida"
62,"Providence, Rhode Island"
273,"Santa Maria, California"
276,"Sunrise Manor, Nevada"
298,"Modesto, California"
317,"Joliet, Illinois"
322,"Spokane, Washington"
382,"Everett, Washington"
389,"Savannah, Georgia"
414,"Bridgeport, Connecticut"
447,"Metairie, Louisiana"
525,"Fort Collins, Colorado"
628,"Eugene, Oregon"
634,"Pittsburgh, Pennsylvania"
772,"Fayetteville, North Carolina"
784,"Temecula, California"
976,"Murrieta, California"
984,"Coral Springs, Florida"
-275,Bellevue
-243,Hampton
-172,Hartford
-166,Lehigh Acres
-46,Manchester
-6,Cambridge
