change_rate,city_state
-0.09,"San Francisco, California"
-0.08,"St. Louis, Missouri"
-0.08,"Jackson, Mississippi"
-0.07,"New York, New York"
-0.07,"New Orleans, Louisiana"
-0.07,"Torrance, California"
-0.06,"Shreveport, Louisiana"
-0.06,"Glendale, California"
-0.06,"Palmdale, California"
-0.06,"Hayward, California"
-0.06,"Berkeley, California"
-0.05,"East Los Angeles, California"
-0.05,"Lancaster, California"
-0.05,"West Valley City, Utah"
-0.05,"San Jose, California"
-0.05,"Pomona, California"
-0.05,"Santa Clarita, California"
-0.05,"Pasadena, California"
-0.05,"Portland, Oregon"
-0.05,"Long Beach, California"
-0.05,"Ann Arbor, Michigan"
-0.04,"Boston, Massachusetts"
-0.04,"Huntington Beach, California"
-0.04,"Philadelphia, Pennsylvania"
-0.04,"Pasadena, Texas"
-0.04,"Baltimore, Maryland"
-0.04,"Baton Rouge, Louisiana"
-0.04,"Norfolk, Virginia"
-0.04,"Chicago, Illinois"
-0.04,"Fullerton, California"
-0.04,"Milwaukee, Wisconsin"
-0.04,"Thousand Oaks, California"
-0.03,"Memphis, Tennessee"
-0.03,"Columbus, Georgia"
-0.03,"Cleveland, Ohio"
-0.03,"Alexandria, Virginia"
-0.03,"Vallejo, California"
-0.03,"Salinas, California"
-0.03,"Montgomery, Alabama"
-0.03,"Concord, California"
-0.03,"Arvada, Colorado"
-0.03,"Kent, Washington"
-0.03,"St. Paul, Minnesota"
-0.03,"Beaumont, Texas"
-0.03,"Oceanside, California"
-0.03,"Mobile, Alabama"
-0.03,"Kansas City, Kansas"
-0.03,"Sunnyvale, California"
-0.03,"Garden Grove, California"
-0.03,"Los Angeles, California"
-0.03,"Escondido, California"
-0.03,"Omaha, Nebraska"
-0.02,"Birmingham, Alabama"
-0.02,"Toledo, Ohio"
-0.02,"Fremont, California"
-0.02,"Newark, New Jersey"
-0.02,"West Jordan, Utah"
-0.02,"Paterson, New Jersey"
-0.02,"Richmond, California"
-0.02,"Warren, Michigan"
-0.02,"Anaheim, California"
-0.02,"Evansville, Indiana"
-0.02,"Rockford, Illinois"
-0.02,"Rochester, New York"
-0.02,"Oxnard, California"
-0.02,"Anchorage, Alaska"
-0.02,"Honolulu, Hawaii"
-0.02,"Des Moines, Iowa"
-0.02,"Independence, Missouri"
-0.02,"Yonkers, New York"
-0.02,"Newport News, Virginia"
-0.02,"Richardson, Texas"
-0.02,"Mesquite, Texas"
-0.02,"Springfield, Illinois"
-0.02,"Provo, Utah"
-0.02,"Westminster, Colorado"
-0.02,"Aurora, Illinois"
-0.02,"Dayton, Ohio"
-0.02,"Paradise, Nevada"
-0.02,"Louisville/Jefferson County (balance), Kentucky"
-0.02,"Virginia Beach, Virginia"
-0.02,"Cedar Rapids, Iowa"
-0.02,"Minneapolis, Minnesota"
-0.02,"Carlsbad, California"
-0.02,"Santa Rosa, California"
-0.02,"Brandon, Florida"
-0.02,"Garland, Texas"
-0.02,"Elgin, Illinois"
-0.01,"Grand Rapids, Michigan"
-0.01,"Springfield, Massachusetts"
-0.01,"Buffalo, New York"
-0.01,"Lowell, Massachusetts"
-0.01,"Oakland, California"
-0.01,"Simi Valley, California"
-0.01,"Irving, Texas"
-0.01,"Indianapolis (balance), Indiana"
-0.01,"Albuquerque, New Mexico"
-0.01,"Orange, California"
-0.01,"Detroit, Michigan"
-0.01,"Syracuse, New York"
-0.01,"Lexington, Kentucky"
-0.01,"Topeka, Kansas"
-0.01,"Akron, Ohio"
-0.01,"Pueblo, Colorado"
-0.01,"Miami Gardens, Florida"
-0.01,"Allentown, Pennsylvania"
-0.01,"Elizabeth, New Jersey"
-0.01,"Sterling Heights, Michigan"
-0.01,"Augusta-Richmond County (balance), Georgia"
-0.01,"Chula Vista, California"
-0.01,"Hialeah, Florida"
-0.01,"Wichita, Kansas"
-0.01,"Carrollton, Texas"
-0.01,"Corpus Christi, Texas"
-0.01,"Stockton, California"
-0.01,"Tulsa, Oklahoma"
-0.01,"Clearwater, Florida"
-0.01,"Lansing, Michigan"
0.00,"Macon-Bibb County, Georgia"
0.00,"Overland Park, Kansas"
0.00,"Nashville (balance), Tennessee"
0.00,"Boise, Idaho"
0.00,"Santa Ana, California"
0.00,"Lakewood, Colorado"
0.00,"Rancho Cucamonga, California"
0.00,"Denver, Colorado"
0.00,"Bellevue, Washington"
0.00,"Arlington, Virginia"
0.00,"Hampton, Virginia"
0.00,"Hartford, Connecticut"
