pop_2024,city,state,pop_2020,change_24_20,pop_density_mile2,area_mile2
8097282,New York,New York,8740292,-643010,26950,300.46
3795936,Los Angeles,California,3895848,-99912,8068,470.52
2638159,Chicago,Illinois,2743329,-105170,11584,227.75
2319119,Houston,Texas,2299269,19850,3620,640.61
1662607,Phoenix,Arizona,1612459,50148,3208,518.33
1533828,Philadelphia,Pennsylvania,1600684,-66856,11416,134.36
1513974,San Antonio,Texas,1439257,74717,3034,498.92
1388996,San Diego,California,1386292,2704,4260,326.09
1302753,Dallas,Texas,1303212,-459,3835,339.68
997164,Jacksonville,Florida,951880,45284,1334,747.26
996756,Fort Worth,Texas,923602,73154,2846,350.27
984567,Austin,Texas,965827,18740,3017,326.37
956433,San Jose,California,1009319,-52886,5375,177.94
923164,Charlotte,North Carolina,875752,47412,2971,310.76
915427,Columbus,Ohio,906418,9009,4147,220.72
876665,Indianapolis (balance),Indiana,887177,-10512,2428,361.02
788478,San Francisco,California,870518,-82040,16884,46.7
759915,Seattle,Washington,740565,19350,9047,84.0
716234,Denver,Colorado,717606,-1372,4679,153.07
709330,Oklahoma City,Oklahoma,683078,26252,1170,606.48
687150,Nashville (balance),Tennessee,689700,-2550,1445,475.57
681683,Washington,District of Columbia,670839,10844,11152,61.13
678859,El Paso,Texas,679255,-396,2623,258.79
665640,Las Vegas,Nevada,646794,18846,4692,141.86
646622,Boston,Massachusetts,675466,-28844,13377,48.34
631524,Detroit,Michigan,638300,-6776,4552,138.74
622882,Portland,Oregon,653344,-30462,4666,133.49
620004,Louisville/Jefferson County (balance),Kentucky,631912,-11908,2357,263.06
613110,Memphis,Tennessee,635225,-22115,2070,296.2
559266,Baltimore,Maryland,583157,-23891,6909,80.95
558736,Albuquerque,New Mexico,564888,-6152,2984,187.27
556111,Milwaukee,Wisconsin,577207,-21096,5782,96.17
548772,Tucson,Arizona,542638,6134,2266,242.19
546718,Fresno,California,542710,4008,4720,115.82
526669,Sacramento,California,525528,1141,5339,98.65
514465,Atlanta,Georgia,499896,14569,3804,135.25
513567,Mesa,Arizona,505890,7677,3632,141.38
511532,Kansas City,Missouri,508220,3312,1626,314.68
491441,Colorado Springs,Colorado,480331,11110,2434,201.87
487942,Raleigh,North Carolina,465354,22588,3265,149.45
480194,Omaha,Nebraska,492758,-12564,3358,142.98
460289,Miami,Florida,442827,17462,12787,36.0
451637,Virginia Beach,Virginia,459684,-8047,1846,244.72
444095,Long Beach,California,465585,-21490,8764,50.67
435024,Oakland,California,440943,-5919,7773,55.96
423250,Minneapolis,Minnesota,430710,-7460,7838,54.0
416081,Bakersfield,California,405280,10801,2769,150.27
411308,Tulsa,Oklahoma,413651,-2343,2080,197.76
408510,Tampa,Florida,387924,20586,3595,113.64
399825,Arlington,Texas,394248,5577,4172,95.84
397811,Aurora,Colorado,386773,11038,2440,163.01
395484,Wichita,Kansas,398024,-2540,2427,162.94
359606,Cleveland,Ohio,371806,-12200,4626,77.73
357767,New Orleans,Louisiana,383241,-25474,2111,169.5
343382,Henderson,Nevada,319072,24310,2849,120.52
