density,city_state
1221,"Abilene, Texas"
3039,"Akron, Ohio"
2984,"Albuquerque, New Mexico"
10306,"Alexandria, Virginia"
4304,"Allen, Texas"
7094,"Allentown, Pennsylvania"
1960,"Amarillo, Texas"
6731,"Anaheim, California"
167,"Anchorage, Alaska"
4164,"Ann Arbor, Michigan"
4034,"Antioch, California"
9078,"Arlington, Virginia"
4172,"Arlington, Texas"
3090,"Arvada, Colorado"
1109,"Athens-Clarke County (balance), Georgia"
3804,"Atlanta, Georgia"
663,"Augusta-Richmond County (balance), Georgia"
3922,"Aurora, Illinois"
2440,"Aurora, Colorado"
3017,"Austin, Texas"
2769,"Bakersfield, California"
6909,"Baltimore, Maryland"
2500,"Baton Rouge, Louisiana"
1355,"Beaumont, Texas"
4527,"Bellevue, Washington"
11236,"Berkeley, California"
2679,"Billings, Montana"
1329,"Birmingham, Alabama"
2782,"Boise, Idaho"
13377,"Boston, Massachusetts"
3444,"Brandon, Florida"
9221,"Bridgeport, Connecticut"
1921,"Broken Arrow, Oklahoma"
1451,"Brownsville, Texas"
289,"Buckeye, Arizona"
6779,"Buffalo, New York"
18479,"Cambridge, Massachusetts"
2206,"Cape Coral, Florida"
2989,"Carlsbad, California"
3621,"Carrollton, Texas"
3023,"Cary, North Carolina"
1825,"Cedar Rapids, Iowa"
4283,"Chandler, Arizona"
1363,"Charleston, South Carolina"
2971,"Charlotte, North Carolina"
1327,"Chattanooga, Tennessee"
754,"Chesapeake, Virginia"
11584,"Chicago, Illinois"
5517,"Chula Vista, California"
3999,"Cincinnati, Ohio"
1856,"Clarksville, Tennessee"
4458,"Clearwater, Florida"
4626,"Cleveland, Ohio"
4932,"Clovis, California"
2476,"College Station, Texas"
2434,"Colorado Springs, Colorado"
1936,"Columbia, Missouri"
1045,"Columbia, South Carolina"
4147,"Columbus, Ohio"
925,"Columbus, Georgia"
3969,"Concord, California"
1747,"Concord, North Carolina"
1503,"Conroe, Texas"
5911,"Coral Springs, Florida"
4040,"Corona, California"
1948,"Corpus Christi, Texas"
3835,"Dallas, Texas"
2416,"Dayton, Ohio"
1693,"Denton, Texas"
4679,"Denver, Colorado"
2373,"Des Moines, Iowa"
4552,"Detroit, Michigan"
2570,"Durham, North Carolina"
15288,"East Los Angeles, California"
2623,"El Paso, Texas"
2959,"Elgin, Illinois"
11003,"Elizabeth, New Jersey"
4203,"Elk Grove, California"
3581,"Enterprise, Nevada"
3940,"Escondido, California"
4006,"Eugene, Oregon"
2421,"Evansville, Indiana"
3312,"Everett, Washington"
2912,"Fairfield, California"
2667,"Fargo, North Dakota"
1416,"Fayetteville, North Carolina"
5027,"Fontana, California"
2979,"Fort Collins, Colorado"
5341,"Fort Lauderdale, Florida"
2457,"Fort Wayne, Indiana"
2846,"Fort Worth, Texas"
2878,"Fremont, California"
4720,"Fresno, California"
3389,"Frisco, Texas"
6151,"Fullerton, California"
2297,"Gainesville, Florida"
9303,"Garden Grove, California"
4265,"Garland, Texas"
4041,"Gilbert, Arizona"
6040,"Glendale, California"
3806,"Glendale, Arizona"
609,"Goodyear, Arizona"
2815,"Grand Prairie, Texas"
4375,"Grand Rapids, Michigan"
2300,"Greeley, Colorado"
2273,"Greensboro, North Carolina"
2663,"Hampton, Virginia"
6883,"Hartford, Connecticut"
3347,"Hayward, California"
2849,"Henderson, Nevada"
10237,"Hialeah, Florida"
2052,"High Point, North Carolina"
5659,"Hollywood, Florida"
5601,"Honolulu, Hawaii"
3620,"Houston, Texas"
7043,"Huntington Beach, California"
1022,"Huntsville, Alabama"
1542,"Independence, Missouri"
2428,"Indianapolis (balance), Indiana"
4827,"Irvine, California"
3786,"Irving, Texas"
1259,"Jackson, Mississippi"
1334,"Jacksonville, Florida"
19769,"Jersey City, New Jersey"
2277,"Joliet, Illinois"
1626,"Kansas City, Missouri"
1217,"Kansas City, Kansas"
3911,"Kent, Washington"
2958,"Killeen, Texas"
2030,"Knoxville, Tennessee"
2169,"Lafayette, Louisiana"
1879,"Lakeland, Florida"
3587,"Lakewood, Colorado"
1739,"Lancaster, California"
2857,"Lansing, Michigan"
2418,"Laredo, Texas"
1507,"Las Cruces, New Mexico"
4692,"Las Vegas, Nevada"
2275,"League City, Texas"
1342,"Lehigh Acres, Florida"
3343,"Lewisville, Texas"
1125,"Lexington, Kentucky"
2959,"Lincoln, Nebraska"
1698,"Little Rock, Arkansas"
8764,"Long Beach, California"
8068,"Los Angeles, California"
2357,"Louisville/Jefferson County (balance), Kentucky"
8369,"Lowell, Massachusetts"
1901,"Lubbock, Texas"
627,"Macon-Bibb County, Georgia"
3394,"Madison, Wisconsin"
3492,"Manchester, New Hampshire"
2374,"McAllen, Texas"
3268,"McKinney, Texas"
2070,"Memphis, Tennessee"
2515,"Menifee, California"
3796,"Meridian, Idaho"
3632,"Mesa, Arizona"
2985,"Mesquite, Texas"
6000,"Metairie, Louisiana"
12787,"Miami, Florida"
5979,"Miami Gardens, Florida"
1846,"Midland, Texas"
5782,"Milwaukee, Wisconsin"
7838,"Minneapolis, Minnesota"
4838,"Miramar, Florida"
1299,"Mobile, Alabama"
5051,"Modesto, California"
1212,"Montgomery, Alabama"
4162,"Moreno Valley, California"
2634,"Murfreesboro, Tennessee"
3343,"Murrieta, California"
3410,"Nampa, Idaho"
3844,"Naperville, Illinois"
1445,"Nashville (balance), Tennessee"
2607,"New Braunfels, Texas"
7339,"New Haven, Connecticut"
2111,"New Orleans, Louisiana"
26950,"New York, New York"
12552,"Newark, New Jersey"
2640,"Newport News, Virginia"
4292,"Norfolk, Virginia"
731,"Norman, Oklahoma"
1590,"North Charleston, South Carolina"
2778,"North Las Vegas, Nevada"
7773,"Oakland, California"
