density,city_state
3999,"Cincinnati, Ohio"
3995,"Thornton, Colorado"
3969,"Concord, California"
3951,"Warren, Michigan"
3945,"Riverside, California"
3940,"Escondido, California"
3922,"Aurora, Illinois"
3911,"Kent, Washington"
3844,"Naperville, Illinois"
3838,"Richmond, Virginia"
3835,"Dallas, Texas"
3827,"Visalia, California"
3806,"Glendale, Arizona"
3804,"Atlanta, Georgia"
3796,"Meridian, Idaho"
3786,"Irving, Texas"
3775,"Richmond, California"
3748,"Rancho Cucamonga, California"
3702,"West Valley City, Utah"
3695,"Ontario, California"
3690,"Roseville, California"
3651,"Sterling Heights, Michigan"
3636,"Salem, Oregon"
3632,"Mesa, Arizona"
3627,"Stamford, Connecticut"
3621,"Carrollton, Texas"
3620,"Houston, Texas"
3615,"Westminster, Colorado"
3611,"San Bernardino, California"
3595,"Tampa, Florida"
3587,"Lakewood, Colorado"
3581,"Enterprise, Nevada"
3526,"Round Rock, Texas"
3505,"West Jordan, Utah"
3492,"Manchester, New Hampshire"
3444,"Brandon, Florida"
3410,"Nampa, Idaho"
3394,"Madison, Wisconsin"
3389,"Frisco, Texas"
3358,"Omaha, Nebraska"
3347,"Hayward, California"
3343,"Lewisville, Texas"
3343,"Murrieta, California"
3338,"Spokane, Washington"
3323,"Pasadena, Texas"
3312,"Everett, Washington"
3276,"Toledo, Ohio"
3268,"McKinney, Texas"
3265,"Raleigh, North Carolina"
3208,"Phoenix, Arizona"
3090,"Arvada, Colorado"
3039,"Akron, Ohio"
3036,"Sparks, Nevada"
3034,"San Antonio, Texas"
3023,"Cary, North Carolina"
3017,"Austin, Texas"
3005,"Santa Clarita, California"
3002,"Simi Valley, California"
2989,"Carlsbad, California"
2985,"Mesquite, Texas"
2984,"Albuquerque, New Mexico"
2982,"Temecula, California"
2979,"Fort Collins, Colorado"
2971,"Charlotte, North Carolina"
2959,"Lincoln, Nebraska"
2959,"Elgin, Illinois"
2958,"Killeen, Texas"
2922,"Orlando, Florida"
2912,"Fairfield, California"
2878,"Fremont, California"
2857,"Lansing, Michigan"
2849,"Henderson, Nevada"
2846,"Fort Worth, Texas"
2826,"The Woodlands, Texas"
2815,"Grand Prairie, Texas"
2782,"Boise, Idaho"
2778,"North Las Vegas, Nevada"
2769,"Bakersfield, California"
2704,"Provo, Utah"
2679,"Billings, Montana"
2667,"Fargo, North Dakota"
2663,"Hampton, Virginia"
2640,"Newport News, Virginia"
2634,"Murfreesboro, Tennessee"
2634,"Pearland, Texas"
2623,"El Paso, Texas"
2617,"Overland Park, Kansas"
2607,"New Braunfels, Texas"
2570,"Durham, North Carolina"
2553,"Reno, Nevada"
2549,"Sioux Falls, South Dakota"
2515,"Menifee, California"
2500,"Baton Rouge, Louisiana"
