pop_change,city
-643010,New York
-105170,Chicago
-99912,Los Angeles
-82040,San Francisco
-66856,Philadelphia
-52886,San Jose
-30462,Portland
-28844,Boston
-25474,New Orleans
-24990,St. Louis
-23891,Baltimore
-22115,Memphis
-21490,Long Beach
-21096,Milwaukee
-12564,Omaha
-12384,Jackson
-12200,Cleveland
-11908,Louisville/Jefferson County (balance)
-11852,Shreveport
-11846,Glendale
-11171,Santa Clarita
-10512,Indianapolis (balance)
-9988,Palmdale
-9760,St. Paul
-9624,Torrance
-9322,Hayward
-9146,Norfolk
-9144,Lancaster
-8922,Baton Rouge
-8368,Huntington Beach
-8195,Anaheim
-8047,Virginia Beach
-7623,Honolulu
-7580,Newark
-7460,Minneapolis
-7338,West Valley City
-7310,Pomona
-6991,Berkeley
-6839,Columbus
-6776,Detroit
-6630,Toledo
-6564,East Los Angeles
-6536,Pasadena
-6424,Anchorage
-6339,Montgomery
-6203,Pasadena
-6152,Albuquerque
-5919,Oakland
-5640,Ann Arbor
-5630,Fremont
-5368,Mobile
-5356,Fullerton
-5260,Oceanside
-5212,Alexandria
-5180,Salinas
-4975,Birmingham
-4839,Garden Grove
-4784,Rochester
-4594,Des Moines
-4564,Oxnard
-4487,Kansas City
-4482,Thousand Oaks
-4450,Yonkers
-4378,Sunnyvale
-4286,Kent
-4116,Vallejo
-3962,Concord
-3906,Newport News
-3906,Arvada
-3856,Escondido
-3831,Buffalo
-3828,Paterson
-3788,Garland
-3655,Paradise
-3552,Beaumont
-3536,Aurora
-3400,Rockford
-3298,Lexington
-3290,Warren
-3246,Irving
-3080,Mesquite
-2832,West Jordan
-2819,Santa Rosa
-2799,Grand Rapids
-2787,Richmond
-2722,Evansville
-2646,Dayton
-2636,Independence
-2550,Nashville (balance)
-2540,Wichita
-2486,Richardson
-2400,Cedar Rapids
-2347,Provo
-2343,Tulsa
-2339,Springfield
-2292,Westminster
-2144,Springfield
-1968,Chula Vista
-1960,Corpus Christi
-1927,Akron
-1911,Stockton
-1906,Carlsbad
-1800,Brandon
-1743,Elgin
-1640,Simi Valley
-1555,Syracuse
-1555,Lowell
-1487,Augusta-Richmond County (balance)
-1486,Orange
-1478,Hialeah
-1372,Denver
-1283,Topeka
-1131,Elizabeth
-1130,Allentown
-1096,Pueblo
-1014,Miami Gardens
-1004,Sterling Heights
-940,Santa Ana
-860,Overland Park
-846,Carrollton
-818,Boise
-698,Macon-Bibb County
-644,Clearwater
-602,Lansing
-459,Dallas
-427,Arlington
-396,El Paso
-390,Jersey City
-382,Lakewood
-371,Rancho Cucamonga
-275,Bellevue
-243,Hampton
-172,Hartford
-166,Lehigh Acres
-46,Manchester
-6,Cambridge
