population_2024,city
8097282,New York
3795936,Los Angeles
2638159,Chicago
2319119,Houston
1662607,Phoenix
1533828,Philadelphia
1513974,San Antonio
1388996,San Diego
1302753,Dallas
997164,Jacksonville
996756,Fort Worth
984567,Austin
956433,San Jose
923164,Charlotte
915427,Columbus
876665,Indianapolis (balance)
788478,San Francisco
759915,Seattle
716234,Denver
709330,Oklahoma City
687150,Nashville (balance)
681683,Washington
678859,El Paso
665640,Las Vegas
646622,Boston
631524,Detroit
622882,Portland
620004,Louisville/Jefferson County (balance)
613110,Memphis
559266,Baltimore
558736,Albuquerque
556111,Milwaukee
548772,Tucson
546718,Fresno
526669,Sacramento
514465,Atlanta
513567,Mesa
511532,Kansas City
