population_2024,city
491441,Colorado Springs
487942,Raleigh
480194,Omaha
460289,Miami
451637,Virginia Beach
444095,Long Beach
435024,Oakland
423250,Minneapolis
416081,Bakersfield
411308,Tulsa
408510,Tampa
399825,Arlington
397811,Aurora
395484,Wichita
359606,Cleveland
357767,New Orleans
343382,Henderson
339558,Honolulu
338463,Anaheim
325044,Orlando
320121,Riverside
319329,Lexington
319065,Stockton
316691,Irvine
316105,Corpus Christi
311595,Cincinnati
310304,Santa Ana
304279,Greensboro
303413,Pittsburgh
303065,Newark
301380,St. Paul
300100,Durham
295798,Lincoln
292623,North Las Vegas
291559,Jersey City
291450,Plano
284469,Anchorage
282005,Madison
281107,Chandler
278226,Reno
277490,Gilbert
275506,St. Louis
273841,Chula Vista
273720,Buffalo
271865,Fort Wayne
269833,Lubbock
264982,St. Petersburg
263646,Toledo
258306,Laredo
257756,Port St. Lucie
255490,Glendale
255254,Chesapeake
254032,Winston-Salem
253561,Irving
245231,Scottsdale
242523,Garland
236331,Enterprise
236007,Arlington
235216,Boise
234132,Cape Coral
232424,Frisco
230017,Richmond
229527,Spokane
228643,Norfolk
228616,Huntsville
224800,Fremont
224274,San Bernardino
223968,Tacoma
221531,Spring Valley
221235,Santa Clarita
220930,Hialeah
218989,Modesto
218846,McKinney
217561,Fontana
217342,Baton Rouge
213566,Moreno Valley
212570,Salt Lake City
210734,Sioux Falls
209942,Fayetteville
209232,Des Moines
208476,Worcester
206544,Yonkers
206078,Rochester
204244,Little Rock
204093,Grand Prairie
203650,Tallahassee
203035,Amarillo
201001,Peoria
200512,Augusta-Richmond County (balance)
200400,Knoxville
200167,Columbus
198463,Sunrise Manor
198163,Vancouver
197347,Oxnard
196874,Overland Park
195908,Grand Rapids
195400,Birmingham
193702,Montgomery
191336,Tempe
191209,Brownsville
190807,Providence
190037,Huntington Beach
189495,Paradise
188850,Chattanooga
188219,Akron
185118,Clarksville
184709,Fort Lauderdale
184705,Ontario
184088,Glendale
182141,Newport News
181754,Cary
181253,Mobile
179069,Elk Grove
178056,Eugene
177928,Salem
176679,Aurora
175140,Santa Rosa
174996,Shreveport
174312,Rancho Cucamonga
171134,Pembroke Pines
170525,Springfield
170507,Fort Collins
169321,Murfreesboro
168705,Oceanside
167024,Garden Grove
164096,Denton
163950,Lancaster
162911,Surprise
162674,Roseville
161612,Killeen
161161,Corona
158907,Palmdale
158211,Salinas
156868,Charleston
156337,Macon-Bibb County
155865,Lakewood
155495,Paterson
154211,Hollywood
153927,Alexandria
153344,Hayward
153136,Springfield
151811,Kansas City
151505,Bellevue
150872,Sunnyvale
150568,Joliet
150520,Naperville
149419,Olathe
148131,Bridgeport
147989,McAllen
147845,Savannah
147158,Escondido
147001,Gainesville
146547,Mesquite
146241,Waco
146073,Visalia
145834,Thornton
145270,Rockford
145171,Syracuse
145165,Pasadena
144489,Columbia
143674,Pomona
140700,Palm Bay
140613,Jackson
140279,Victorville
140232,Midland
139920,Meridian
139586,Miramar
138958,Metairie
137965,Orange
137911,Fullerton
137173,New Haven
137037,Hampton
136818,Torrance
136480,Stamford
135930,Lewisville
135832,Warren
135588,Fargo
135546,Elizabeth
135358,Cedar Rapids
135152,Coral Springs
134850,Dayton
133691,Round Rock
133055,Sterling Heights
132706,Carrollton
132635,West Valley City
132306,Kent
131926,Pasadena
131886,Santa Clara
130674,Norman
130337,Columbia
130251,Abilene
129089,Athens-Clarke County (balance)
128316,Pearland
127511,Clovis
126665,College Station
126337,West Palm Beach
125154,Topeka
125056,Lakeland
125007,Wilmington
124703,Simi Valley
124597,Allentown
124357,Lehigh Acres
123441,North Charleston
122692,Rochester
122342,Thousand Oaks
122272,The Woodlands
122077,Billings
121778,Vallejo
121471,Lafayette
121324,Concord
121079,Fairfield
120949,Broken Arrow
120437,Arvada
120263,Independence
120022,Spring Hill
119626,Hartford
118587,Nampa
118212,Cambridge
117971,Ann Arbor
117668,Antioch
117619,High Point
117396,New Braunfels
117214,Berkeley
116874,League City
116834,Menifee
116813,Richardson
116689,Clearwater
116460,Goodyear
116015,Odessa
115956,Las Cruces
115462,Manchester
115360,Waterbury
114651,Evansville
114302,Westminster
114200,West Jordan
114173,Pompano Beach
114109,Brandon
113958,Buckeye
113940,East Los Angeles
113912,Conroe
113907,Lowell
113721,Greeley
113711,Tuscaloosa
113644,Allen
113409,Richmond
113018,Carlsbad
112874,Elgin
112756,Provo
112735,Rio Rancho
112122,Murrieta
111964,Lansing
111959,Springfield
111863,Concord
111823,South Fulton
111678,Tyler
111305,Beaumont
111275,Everett
110878,Temecula
110803,Pueblo
110801,Sparks
110463,Miami Gardens
110055,Santa Maria
