density,city_state
2476,"College Station, Texas"
2457,"Fort Wayne, Indiana"
2440,"Aurora, Colorado"
2434,"Colorado Springs, Colorado"
2431,"Wilmington, North Carolina"
2428,"Indianapolis (balance), Indiana"
2427,"Wichita, Kansas"
2421,"Evansville, Indiana"
2418,"Laredo, Texas"
2416,"Dayton, Ohio"
2393,"Olathe, Kansas"
2374,"McAllen, Texas"
2373,"Des Moines, Iowa"
2357,"Louisville/Jefferson County (balance), Kentucky"
2345,"West Palm Beach, Florida"
2300,"Greeley, Colorado"
2297,"Gainesville, Florida"
2277,"Joliet, Illinois"
2275,"League City, Texas"
2273,"Greensboro, North Carolina"
2266,"Tucson, Arizona"
2236,"Odessa, Texas"
2232,"Rockford, Illinois"
2214,"Thousand Oaks, California"
2206,"Cape Coral, Florida"
2172,"Rochester, Minnesota"
2169,"Lafayette, Louisiana"
2162,"Port St. Lucie, Florida"
2111,"New Orleans, Louisiana"
2080,"Tulsa, Oklahoma"
2070,"Memphis, Tennessee"
2052,"High Point, North Carolina"
2049,"Springfield, Missouri"
2030,"Knoxville, Tennessee"
2030,"Topeka, Kansas"
2003,"Spring Hill, Florida"
1988,"Tallahassee, Florida"
1961,"Pueblo, Colorado"
1960,"Amarillo, Texas"
1948,"Corpus Christi, Texas"
1936,"Columbia, Missouri"
1932,"Tyler, Texas"
1921,"Broken Arrow, Oklahoma"
1917,"Salt Lake City, Utah"
1903,"Victorville, California"
1902,"Winston-Salem, North Carolina"
1901,"Lubbock, Texas"
1879,"Lakeland, Florida"
1856,"Clarksville, Tennessee"
1846,"Virginia Beach, Virginia"
1846,"Midland, Texas"
1830,"Tuscaloosa, Alabama"
1828,"Springfield, Illinois"
1825,"Cedar Rapids, Iowa"
1747,"Concord, North Carolina"
1739,"Lancaster, California"
1698,"Little Rock, Arkansas"
1693,"Denton, Texas"
1626,"Kansas City, Missouri"
1623,"Palm Bay, Florida"
1618,"Shreveport, Louisiana"
1607,"Waco, Texas"
1590,"North Charleston, South Carolina"
1542,"Independence, Missouri"
1507,"Las Cruces, New Mexico"
1503,"Conroe, Texas"
1498,"Palmdale, California"
1474,"Surprise, Arizona"
1451,"Brownsville, Texas"
1445,"Nashville (balance), Tennessee"
1416,"Fayetteville, North Carolina"
1363,"Charleston, South Carolina"
1358,"Savannah, Georgia"
1355,"Beaumont, Texas"
1342,"Lehigh Acres, Florida"
1334,"Jacksonville, Florida"
1333,"Scottsdale, Arizona"
1329,"Birmingham, Alabama"
1327,"Chattanooga, Tennessee"
1299,"Mobile, Alabama"
1259,"Jackson, Mississippi"
1221,"Abilene, Texas"
1217,"Kansas City, Kansas"
1212,"Montgomery, Alabama"
1203,"South Fulton, Georgia"
1170,"Oklahoma City, Oklahoma"
1138,"Peoria, Arizona"
1125,"Lexington, Kentucky"
1109,"Athens-Clarke County (balance), Georgia"
1091,"Rio Rancho, New Mexico"
1045,"Columbia, South Carolina"
1022,"Huntsville, Alabama"
925,"Columbus, Georgia"
754,"Chesapeake, Virginia"
731,"Norman, Oklahoma"
663,"Augusta-Richmond County (balance), Georgia"
627,"Macon-Bibb County, Georgia"
609,"Goodyear, Arizona"
289,"Buckeye, Arizona"
167,"Anchorage, Alaska"
