population_2024,city
491.441,Colorado Springs
487.942,Raleigh
480.194,Omaha
460.289,Miami
451.637,Virginia Beach
444.095,Long Beach
435.024,Oakland
423.250,Minneapolis
416.081,Bakersfield
411.308,Tulsa
408.510,Tampa
399.825,Arlington (TX)
236.007,Arlington (VA)
395.484,Wichita
359.606,Cleveland
357.767,New Orleans
343.382,Henderson
339.558,Honolulu
338.463,Anaheim
325.044,Orlando
320.121,Riverside
319.329,Lexington
319.065,Stockton
316.691,Irvine
316.105,Corpus Christi
311.595,Cincinnati
310.304,Santa Ana
304.279,Greensboro
303.413,Pittsburgh
303.065,Newark
301.380,St. Paul
300.100,Durham
295.798,Lincoln
292.623,North Las Vegas
291.559,Jersey City
291.450,Plano
284.469,Anchorage
282.005,Madison
281.107,Chandler
278.226,Reno
277.490,Gilbert
275.506,St. Louis
273.841,Chula Vista
273.720,Buffalo
271.865,Fort Wayne
269.833,Lubbock
264.982,St. Petersburg
263.646,Toledo
258.306,Laredo
257.756,Port St. Lucie
397.811,Aurora (CO)
255.254,Chesapeake
254.032,Winston-Salem
253.561,Irving
245.231,Scottsdale
242.523,Garland
236.331,Enterprise
176.679,Aurora (IL)
235.216,Boise
234.132,Cape Coral
232.424,Frisco
144.489,Columbia (SC)
229.527,Spokane
228.643,Norfolk
228.616,Huntsville
224.800,Fremont
224.274,San Bernardino
223.968,Tacoma
221.531,Spring Valley
221.235,Santa Clarita
220.930,Hialeah
218.989,Modesto
218.846,McKinney
217.561,Fontana
217.342,Baton Rouge
213.566,Moreno Valley
212.570,Salt Lake City
210.734,Sioux Falls
209.942,Fayetteville
209.232,Des Moines
208.476,Worcester
206.544,Yonkers
130.337,Columbia (MO)
204.244,Little Rock
204.093,Grand Prairie
203.650,Tallahassee
203.035,Amarillo
201.001,Peoria
200.512,Augusta-Richmond County (balance)
200.400,Knoxville
200.167,Columbus
198.463,Sunrise Manor
198.163,Vancouver
197.347,Oxnard
196.874,Overland Park
195.908,Grand Rapids
195.400,Birmingham
193.702,Montgomery
191.336,Tempe
191.209,Brownsville
190.807,Providence
190.037,Huntington Beach
189.495,Paradise
188.850,Chattanooga
188.219,Akron
185.118,Clarksville
184.709,Fort Lauderdale
184.705,Ontario
121.324,Concord (CA)
182.141,Newport News
181.754,Cary
181.253,Mobile
179.069,Elk Grove
178.056,Eugene
177.928,Salem
111.863,Concord (NC)
175.140,Santa Rosa
174.996,Shreveport
174.312,Rancho Cucamonga
171.134,Pembroke Pines
255.490,Glendale (AZ)
170.507,Fort Collins
169.321,Murfreesboro
168.705,Oceanside
167.024,Garden Grove
164.096,Denton
163.950,Lancaster
162.911,Surprise
162.674,Roseville
161.612,Killeen
161.161,Corona
158.907,Palmdale
158.211,Salinas
156.868,Charleston
156.337,Macon-Bibb County
155.865,Lakewood
155.495,Paterson
154.211,Hollywood
153.927,Alexandria
153.344,Hayward
184.088,Glendale (CA)
151.811,Kansas City
151.505,Bellevue
150.872,Sunnyvale
150.568,Joliet
150.520,Naperville
149.419,Olathe
148.131,Bridgeport
147.989,McAllen
147.845,Savannah
147.158,Escondido
147.001,Gainesville
146.547,Mesquite
146.241,Waco
146.073,Visalia
145.834,Thornton
145.270,Rockford
145.171,Syracuse
145.165,Pasadena (TX)
131.926,Pasadena (CA)
143.674,Pomona
140.700,Palm Bay
140.613,Jackson
140.279,Victorville
140.232,Midland
139.920,Meridian
139.586,Miramar
138.958,Metairie
137.965,Orange
137.911,Fullerton
137.173,New Haven
137.037,Hampton
136.818,Torrance
136.480,Stamford
135.930,Lewisville
135.832,Warren
135.588,Fargo
135.546,Elizabeth
135.358,Cedar Rapids
135.152,Coral Springs
134.850,Dayton
133.691,Round Rock
133.055,Sterling Heights
132.706,Carrollton
132.635,West Valley City
132.306,Kent
230.017,Richmond (VA)
131.886,Santa Clara
130.674,Norman
113.409,Richmond (CA)
130.251,Abilene
129.089,Athens-Clarke County (balance)
128.316,Pearland
127.511,Clovis
126.665,College Station
126.337,West Palm Beach
125.154,Topeka
125.056,Lakeland
125.007,Wilmington
124.703,Simi Valley
124.597,Allentown
124.357,Lehigh Acres
123.441,North Charleston
206.078,Rochester (NY)
122.342,Thousand Oaks
122.272,The Woodlands
122.077,Billings
121.778,Vallejo
121.471,Lafayette
122.692,Rochester (MN)
121.079,Fairfield
120.949,Broken Arrow
120.437,Arvada
120.263,Independence
120.022,Spring Hill
119.626,Hartford
118.587,Nampa
118.212,Cambridge
117.971,Ann Arbor
117.668,Antioch
117.619,High Point
117.396,New Braunfels
117.214,Berkeley
116.874,League City
116.834,Menifee
116.813,Richardson
116.689,Clearwater
116.460,Goodyear
116.015,Odessa
115.956,Las Cruces
115.462,Manchester
115.360,Waterbury
114.651,Evansville
114.302,Westminster
114.200,West Jordan
114.173,Pompano Beach
114.109,Brandon
113.958,Buckeye
113.940,East Los Angeles
113.912,Conroe
113.907,Lowell
113.721,Greeley
113.711,Tuscaloosa
113.644,Allen
170.525,Springfield (MO)
113.018,Carlsbad
112.874,Elgin
112.756,Provo
112.735,Rio Rancho
112.122,Murrieta
111.964,Lansing
153.136,Springfield (MA)
111.959,Springfield (IL)
111.823,South Fulton
111.678,Tyler
111.305,Beaumont
111.275,Everett
110.878,Temecula
110.803,Pueblo
110.801,Sparks
110.463,Miami Gardens
110.055,Santa Maria
